isbn,title,author,year
340752483,Winter Solstice,Rosamunde Pilcher,2000
62280708,The Wicked Will Rise,Danielle  Paige,2015
689829531,Olivia,Ian Falconer,2000
786836547,The Golem's Eye,Jonathan Stroud,2004
896214400,The Shawshank Redemption,Stephen King,1982
575082453,Best Served Cold,Joe Abercrombie,2009
857520660,Perfect,Rachel Joyce,2013
195007778,A Sand County Almanac,Aldo Leopold,1949
375500723,The Heart of a Woman,Maya Angelou,1981
684859238,To Have and Have Not ,Ernest Hemingway,1937
61229776,"Vampire, Interrupted",Lynsay Sands,2008
743495667,In Her Shoes,Jennifer Weiner,2002
185723135X,Use of Weapons,Iain M. Banks,1990
7442912,Insurgent,Veronica Roth,2012
312263996,Timbuktu,Paul Auster,1999
145161781X,Who Do You Love,Jennifer Weiner,2015
20248717,Way Station,Clifford D. Simak,1963
039330762X,The Mauritius Command,Patrick O'Brian,1977
670020575,Through Black Spruce,Joseph Boyden,2008
842387439,Fame,Karen Kingsbury,2005
014303541X,Something Rotten,Jasper Fforde,2004
60525126,Size 14 Is Not Fat Either,Meg Cabot,2006
671869205,Truman,David McCullough,1992
345461665,Judas Unchained,Peter F. Hamilton,2005
1400065674,The Bone Clocks,David Mitchell,2014
425182878,Chosen Prey,John Sandford,2001
805090800,Invisible,Paul Auster,2009
140006208X,Olive Kitteridge,Elizabeth Strout,2008
1594486247,The Painted Girls,Cathy Marie Buchanan,2012
553275720,Fantastic Voyage,Isaac Asimov,1966
140168125,Big Sur,"Jack Kerouac, Aram Saroyan",1962
553803719,Foundation,Isaac Asimov,1951
1846558913,"In a Dark, Dark Wood ",Ruth Ware,2015
345413997,The Door into Summer,Robert A. Heinlein,1957
1590388127,The Wednesday Letters,Jason F. Wright,2007
316726192,Trading Up,Candace Bushnell,2003
1423160924,The Hammer of Thor,Rick Riordan,2016
307595110,The Wolf Gift,Anne Rice,2012
374299250,Lush Life,Richard Price,2008
045146527X,Vision in Silver ,Anne Bishop,2015
385526342,Pygmy,Chuck Palahniuk,2009
62224107,Vanishing Girls,Lauren Oliver,2015
689865406,Specials,Scott Westerfeld,2006
1455503061,Pure,Julianna Baggott,2012
6280897,The Four Loves,C.S. Lewis,1960
60935782,Vagabond,Bernard Cornwell,2002
61043532,Clouds of Witness,Dorothy L. Sayers,1926
316018783,"I, Alex Cross",James Patterson,2009
385613504,You Against Me,Jenny Downham,2010
7201788,Bones of the Hills,Conn Iggulden,2008
316231053,The Fever,Megan Abbott,2014
141181362,Fifth Business,Robertson Davies,1970
674017722,A Theory of Justice,John Rawls,1971
60594772,Beaches,Iris Rainer Dart,1985
525950079,World Without End,Ken Follett,2007
142333745X,Creation in Death ,J.D. Robb,2007
446694258,Void Moon,Michael Connelly,1999
515128635,Tripwire,Lee Child,1999
1416954171,Found,Margaret Peterson Haddix,2008
60734086,Fairest,Gail Carson Levine,2006
62002325,Angelfire,Courtney Allison Moulton,2011
747594155,Syren,Angie Sage,2009
749311614,The Covenant,James A. Michener,1980
1416505415,Blowback,Brad Thor,2005
451207793,The Key to Rebecca,Ken Follett,1980
307272095,The Children's Book,A.S. Byatt,2009
345533631,Hunted,Kevin Hearne,2013
394758269,The High Window,Raymond Chandler,1942
385344341,Never Go Back ,Lee Child,2013
375702709,A Lesson Before Dying,Ernest J. Gaines,1993
689872372,Everlost,Neal Shusterman,2006
7331789,Death of Kings,Bernard Cornwell,2011
330411985,Winter in Madrid,C.J. Sansom,2006
142406635,The Ruins of Gorlan,John Flanagan,2004
316074314,The Luminaries,Eleanor Catton,2013
034548343X,The Amber Room,Steve Berry,2003
312360266,Marked,"P.C. Cast, Kristin Cast",2007
425185508,Picture Perfect,Jodi Picoult,1995
425098605,The Vision,Dean Koontz,1977
8807813025,Novecento,Alessandro Baricco,1994
61988340,Lost in Shangri-la,Mitchell Zuckoff,2011
809599813,Tarzan of the Apes,Edgar Rice Burroughs,1912
142640607X,Babbitt,Sinclair Lewis,1922
440420059,Milkweed,Jerry Spinelli,2003
038551851X,Clapton: The Autobiography,Eric Clapton,2007
385337639,Crow Lake,Mary Lawson,2002
1841493155,The High Lord,Trudi Canavan,2002
312422156,Middlesex,Jeffrey Eugenides,2002
316113573,Ghostgirl,Tonya Hurley,2008
048641423X,An Ideal Husband,Oscar Wilde,1893
451450523,The Last Unicorn,Peter S. Beagle,1968
345516109,Juliet,Anne Fortier,2010
778324907,Virgin River,Robyn Carr,2007
1250003326,Of Poseidon,Anna Banks,2012
1416500189,The Good Earth,Pearl S. Buck,1931
61668125,Destined,Aprilynne Pike,2012
61779784,Secondhand Souls,Christopher Moore,2015
449000621,G is for Gumshoe,Sue Grafton,1990
1595540547,When Crickets Cry,Charles Martin,2006
62227327,The Ghost Bride,Yangsze Choo,2013
765332000,Shadows in Flight,Orson Scott Card,2011
440421853,How to Eat Fried Worms,Thomas Rockwell,1973
038081093X,Excavation,James Rollins,2000
345503805,The Painted Man,Peter V. Brett,2008
571225403,When We Were Orphans,Kazuo Ishiguro,2000
193481332X,Scars,Cheryl Rainfield,2010
312304358,Moloka'i,Alan Brennert,2003
743270606,The Men Who Stare at Goats,Jon Ronson,2004
671010123,Final Jeopardy,Linda Fairstein,1996
1416953574,Wake,Lisa McMann,2008
670034800,Swapping Lives,Jane Green,2006
1476751447,Hard Choices,Hillary Rodham Clinton,2013
446580341,Simple Genius,David Baldacci,2007
810983915,Dog Days,Jeff Kinney,2009
394758277,"Farewell, My Lovely",Raymond Chandler,1940
312420331,Crash,J.G. Ballard,1973
446615625,The Camel Club,David Baldacci,2005
140184937,Our Man in Havana,Graham Greene,1958
399229191,The Very Busy Spider ,Eric Carle,1984
316228532,The Casual Vacancy,J.K. Rowling,2012
62071130,Everneath,Brodi Ashton,2012
8424133498,Strega Nona,Tomie dePaola,1975
345418549,"Night Mare (Xanth, #6)",Piers Anthony,1982
1400064562,Jaws,Peter Benchley,1974
553567152,"Don't Die, My Love",Lurlene McDaniel,1995
1857239016,The Talismans of Shannara,Terry Brooks,1993
068484477X,Stones from the River,Ursula Hegi,1994
20306652,Ball Four,Jim Bouton,1970
439829119,The Dead of the Night,John Marsden,1994
1250002826,Infamous,Sherrilyn Kenyon,2012
61007226,The Exorcist,William Peter Blatty,1971
307716546,Afterwards,Rosamund Lupton,2011
850515033,Dom Casmurro,Machado de Assis,1899
140130138X,The Center Cannot Hold,Elyn R. Saks,2007
345425502,The Life of Elizabeth I,Alison Weir,1996
006156608X,Wicked,Sara Shepard,2008
307265781,Whitethorn Woods,Maeve Binchy,2006
571215165,Vernon God Little,D.B.C. Pierre,2003
385338708,Shopaholic and Baby,Sophie Kinsella,2007
756403146,Black Sun Rising,C.S. Friedman,1991
743484207,Secret Prey,John Sandford,1998
5559609129,Vittorio the Vampire,Anne Rice,1999
310266289,Leaving,Karen Kingsbury,2011
081299289X,China Dolls,Lisa See,2014
345498127,Starter for Ten,David Nicholls,2003
61053716,Imajica,Clive Barker,1991
553262149,Emily Climbs,L.M. Montgomery,1925
